LIST OF PRIMARY HEALTH CARE CENTERS (PHCCs) IN LAGOS STATE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,179,,,OKE IRA CENTRAL,OKE IRA CENTRAL PHC,"41, APATA ST, OKE IRA CENTRAL, BY SECONDARY SCHOOL, OKE-IRA,OGBA", 
,180,,,AGUDA,AGUDA PHC,"7,TUNDE GARBY ST, AGUDA TOWN HALL (GROUND FLOOR), AGUDA-OGBA", 
12,181,IKORODU CENTRAL LGA,IKORODU CENTRAL LGA,ISELE,IKORODU/ITA ELEWA PHC ,"2-5 ORIWU ROAD,IKORODU",COMPREHENSIVE
,182,,,OLORI EYITA,EMMANUEL OSHINOWO CHILCREN CENTRE,"20,ADDIS ABBABA ST,EYITA IKD", 
,183,,,AGURA/ GBERIGBE,AGURA PHC,"AGURA ROAD,AGURA", 
,184,,IGBOGBO BAIYEKU LCDA,ABOSAN,IGBOGBO PHC,"AGBELE  ROAD,IGBOGBO",COMPREHENSIVE
,185,,,BAYEKU ,BAYEKU PHC,"BAYEKU ROAD,IGBOGBO", 
,186,,,BAYEKU,LAJO H/POST,OPP CEDARFIED NUR/PRI BAYEKU IKORODU, 
,187,,,BAYEKU ,OFFIN HEALTH POST,"OFFIN LAST BUS STOP, OFFIN", 
,188,,,ELEPE ,ELEPE PHC,"ELEPE B/STOP,ELEPE", 
,189,,,IBESHE,IBESHE PHC,"IBESHE ROAD,IBESHE", 
,190,,IKORODU WEST LCDA,MAJIDUN ,MAJIDUN PHC,MAJIDUN ROAD, 
,191,,,IPAKODO,IPAKODO PHC,EBUTE IGBOGBO RD,COMPREHENSIVE
,192,,,ISAWO,IGBO OLOMU PHC,"ISAWO ROAD,AGRIC", 
,193,,,AJAGURO,ORI OKUTA  PHC,IRE-AKARI ESTATE PHASE 2 OMO OBA ORI OKUTA, 
,194,,IMOTA LCDA,ATERE,IMOTA PHC,"ITUN-ONABU ST,IMOTA",COMPREHENSIVE
,195,,,IGBOKUTA,IGBALU/IGBOKUTA PHC,"IGBOKUTA ROAD,IGBOKUTA", 
,196,,,ITUNMAJA,ORI OKUTA PHC,"MOSAFEJO STREET,IMOTA IKORODU", 
,197,,IJEDE LCDA,AIYEGBAMI,IJEDE PHC,"BEACH RD,IJEDE LCDA", 
,198,,,OKE-ELETU,OKE ELETU PHC,"OKE ELETU BUS STOP,IJEDE",COMPREHENSIVE
,199,,,OKE-ELETU,ABULE EKO PHC,"ABULE EKO RD,IJEDE", 
,200,,IKORODU NORTH LCDA,ODONGUNYAN,AGBEDE PHC,"AGBEDE  ROAD,AGBEDE", 
,201,,,ODONGUNYAN,LOSI OBA PHC,"ISELE B/STOP,ITA OLIWO", 
,202,,,ODONGUNYAN,ODO NLA PHC,"SHAGAMU ROAD,ODO NLA",COMPREHENSIVE
,203,,,ODONGUNYAN,OMOLAIYE PHC,"FIWAKESIN COVENANT ESTATE, AGBEDE", 
,204,,,OLORUNDA,OLORUNDA PHC,OLORUNDA VILLAGE, 
,205,,,ISIU ,ISIU PHC,"ISIU ROAD,ISIU", 
,206,,,ERIKORODO,PARAFA PHC,PARAFA VILLAGE, 
,207,,,AGBALA LASUNWON,LASUNWON PHC,"BAALE'S PALACE,LAMBOLASUWON OPP LASPOTECH,OFF SAGAMU RD", 
13,208,KOSOFE LGA,KOSOFE LGA,MENDE ,MENDE PHC,"12/13, BODE OLUWO ST, MENDE, MARYLAND.", 
,209,,,OGUDU ,OGUDU PHC,"175, OGUDU RD, OGUDU",COMPREHENSIVE
,210,,,ORILE OWORO ,OWORO PHC,"11, GBENGA ASABI ST, OWORONSOKI", 
,211,,IKOSI-ISHERI LCDA,IKOSI OKE,IKOSI PHC,"20, IKOSI RD, IKOSI",COMPREHENSIVE
,212,,,ISHERI OLOWORA,ISHERI PHC,"27,OLD DAWORA ROAD , ISHERI", 
,213,,,ISHERI OLOWORA,ISHERI OLOWORA PHC (IKOSI ISHERI MUTUAL PLAN),OLOWORA STREET OFF ISHERI ROAD (MAGODO PHASE 2 ISHERI), 
,214,,,AGILITI MAIDAN ,MAIDAN PHC," ANIYAN STREET, MAIDAN, MILE 12", 
,215,,,IDERA,IDERA PHC,IDERA VILLAGE, 
,216,,AGBOYI KETU LCDA,AGBOYI 1,AGBOYI PHC,AGBOYI RIVERINE, 
