Provider,claim_count,Amt Paid_total,Units Paid_total
ChildKid Children Hospital,5,6342.5,15.0
MIREVA MEDICAL SERVICES AND DIANOSTICS LIMITED,4,10500.0,4.0
Vision Capital Eye Hospital AJAO,4,66500.0,4.0
AYOKEMI HOSPITAL AND MATERNITY (JUNE HOSPITAL VENTURES),4,3235.0,35.0
PARKVIEW FMRHOSPITAL,4,6419.9,60.0
REGAL SPECIALIST WOMENS HOSPITAL,4,41300.0,31.0
Metro Eye Clinic Gbagada,4,93000.0,4.0
Bethel Dental Clinic                                       ,4,21000.0,4.0
Teem Dental,4,47000.0,5.0
8 Eight Medical Limited,4,335000.0,4.0
BLUE GLOVES HOSPITAL,4,25540.0,60.0
Greenleaf Wellness,4,7500.0,4.0
Premiere Eye Centre,4,95500.0,21.0
Pro Optics L,4,79000.0,5.0
KHAIRO DIET CLINIC,4,30000.0,4.0
DB DONOM BONITAS PHARMACY 2ND GATE IKORODU ,4,11000.0,4.0
HEPHZIBAH EYECARE LTD - UYO,4,13800.0,13.0
Peachcare Medical Centre,4,11000.0,4.0
Perfect Eyes,4,69500.0,7.0
Choice Opticals And Surgical Services Ltd - Ikeja,4,78000.0,13.0
SNOW DENTAL CARE,4,19000.0,4.0
GOODHEART MEDICAL CONSULTANTS,3,40000.0,3.0
J Rapha Clinics,3,2890.0,3.0
Healing Stripes Hospital,3,5000.0,3.0
Truvision Ltd VI,3,84000.0,18.0
Osec (Outpatient Surgery & Endoscopy Center),3,200000.0,3.0
OLIVE DENTAL CLINIC PH,3,34000.0,3.0
MODEL OPTICALS ADO EKITI,3,96500.0,8.0
NUELLA HOSPITAL,3,25626.3,29.0
Beracca Eye Clinic Ltd Port Harcourt,3,101000.0,5.0
NETT PHARMACY OPEBI,3,54540.0,3.0
Oasis Dental Clinic,3,10000.0,3.0
Sway Fitness,3,14000.0,22.0
MEDCOURT PHARMACY OGUDU,3,10250.0,5.0
LE LIEU DE LEILAS,3,2500.0,3.0
Motayo Hospital                                             ,3,5000.0,12.0
Divine Dental Home Ikorodu,3,35000.0,3.0
