Provider,claim_count,Amt Paid_total,Units Paid_total
GUARDIAN HEALTH HOSPITAL,56,535456.9299999999,322.0
HEALTHBRIDGE MEDICAL CONSULTANTS,55,354242.6,236.0
GHC MEDICAL AND PRIMARY HEALTHCARE  LIMITED,55,176342.05,0.0
AMISAL Dental Care,55,436000.0,106.0
INSIGHT PLUS HEALTHCARE LTD,54,425353.5,50.0
ZERAH EYE HOSPITAL AND LASER CENTER CALABAR,54,250000.0,112552.0
Skipper Eye-Q Nigeria Ltd,54,548982.5,37.0
OPTIMIST DENTAL CLINIC,54,450000.0,23.0
Finnih Medical Centre                                       ,54,156170.0,234.0
Diphillab Vison Care And Optical Service,54,215375.0,33.0
SPARKLING EYES AND OPTICAL SERVICES ILUPEJU,54,476012.5,107.0
NEON HEALTH SERVICES LTD,53,144081.5,1057.0
FEDERAL TEACHING HOSPITAL GOMBE,52,149503.5,571.0
Smiley Dental Clinic Surulere,52,558787.0,34.0
Ronnie Diagnostic Center Ltd,52,344300.0,52.0
Arubah Specialist Hospital,52,104631.0,314.0
TREASURE HOSPITAL,51,160361.21,165.0
HANOVILLE SPECIALIST HOSPITAL,51,240224.86,356.0
Premier Medical Services Uyo,51,178882.2,27.0
ACHILLES SPECIALIST HOSPITAL,50,132163.6,276.0
County Hospital Ogba,50,200541.3,83.0
The Vine Hospital & Maternity,50,42793.270000000004,261.0
Vision Pride Eyecare,50,173075.0,0.0
Our Lady of Fatima Catholic Hospital Bwari,50,58368.9,391.0
PURPLEIVY MEDICAL CONSULTANTS,50,150750.4,162.0
Peak Eye Care GRA IKEJA,49,229500.0,46.0
Regal Hospital Igando,49,73121.0,0.0
Agape Medical Centre Lagos,49,41717.8,394.0
VIMA  HOSPITAL,48,127470.25,16.0
SWIFT EYECARE IKEJA CLINIC,48,239000.0,42.0
EYE DIAGNOSTIC OPTICAL SERVICES CENTRE LTD,48,154287.5,19.0
Ayodele Medical Centre,47,107567.0,48.0
CERBA LANCET (Clina Lancet),47,230300.0,55.0
COVENANT LIFECARE HOSPITAL IFO,47,104844.71,0.0
ADEJOKE HEALTHCARE HOSPITAL,47,56994.75,0.0
ONE HEALTH PHARMACY,46,152550.0,39.0
D GREAT ARK HOSPITAL,46,123766.5,482.0
LIFE PILLAR HOSPITAL,45,323777.9,0.0
REM YEMS HOSPITAL LTD,45,125957.0,0.0
Ultimate Eye Clinic                                         ,45,350875.0,15.0
St Martins Hospital,45,125169.95,50.0
DEAN EYE CARE,44,355875.0,75.0
PAVIK EYE CLINC,44,234703.0,56.0
Dupsnl Vision Eye Clinic Ltd,44,268500.0,65.0
DAUGHTERS OF CHARITY OF ST. VINCENT DE PAUL HOSPITAL BWARI,43,293801.0,194.0
FAVOURED EMMANUEL MEDICAL CENTER,43,45131.0,597.0
SAVE DENTAL CLINIC,43,540000.0,23.0
Rightcare Hospital Limited,43,74379.5,167.0
Gateway Hospital Jalingo,43,163858.75,378.0
ISUTI MEDICAL CENTRE,43,66768.75,0.0
ST MARYS SPECIALIST CENTRE SURULERE,42,1845000.0,7.0
Thelish Eye Centre,42,527370.0,95.0
Mucas Hospital                                              ,42,95422.8,0.0
Spring Hope Specialist Hospital,41,64591.0,186.0
Araba Medical Center,41,101643.65,58.0
Royan Hospital,41,132287.25,170.0
Westhill Hospital,41,306566.03,220.0
Vintage Hospital                                            ,41,105632.0,21110.25
FARAMED CLINICS,40,102166.95,35.0
