Provider,claim_count,Amt Paid_total,Units Paid_total
FAVOURED EMMANUEL MEDICAL CENTER,4,3998.0,22
PHARMACY BENEFIT PROGRAMME ASABA,4,0.0,92
Eyeline Ltd,4,55500.0,13
Credible Eye Care,4,55500.0,13
Phoenix Eye Clinic,4,14000.0,4
D DENTIST PLACE OWERRI,4,119000.0,10
Bee Hess Hospital,4,7152.5,39
Betta Hospital,4,5765.25,21
Blessed Dental Clinic,4,20000.0,6
Peace Hospital                                             ,4,4407.5,26
BEAM DENTAL CLINIC,4,123000.0,14
VISION CAPITAL EYE HOSPITAL MAGODO,4,56000.0,5
VVS ELITE SYNERGY,4,10000.0,4
Ultima Medicare Hospital,4,51200.0,4
HEPHZIBAH EYECARE LTD - LEKKI,4,24500.0,4
Foresight Eye Clinic                                       ,4,60250.0,4
NADERK EYE CLINIC ,4,64000.0,13
HEPHZIBAH EYECARE LTD - SANGOTEDO,4,62500.0,4
HEPHZIBAH EYECARE LTD - UYO,4,0.0,4
INTERCONTINENTAL DIAGNOSTICS CENTER,4,41400.0,4
MEDPRIME DIAGNOSTIC CENTRE,3,20325.0,3
Foremost Base Hospital                                      ,3,8850.0,7
 KLARITY DENTALS HEALTH SERVICES,3,31000.0,6
SIMEONE HOSPITAL LIMITED,3,17300.0,3
Dupsnl Vision Eye Clinic Ltd,3,5500.0,3
SpecSMART,3,54000.0,12
Ivory Dental Care,3,35000.0,3
Irele Ifijeh Hospital Ltd,3,3205.0,32
Ivy dental Services,3,25000.0,6
MICEL HOSPITAL,3,7012.5,32
PHARMABAY LTD,3,53250.0,7
Glory Land-Inri Med Centre,3,70000.0,12
PORTHARCOURT EUROPEAN HOSPITAL,3,22000.0,3
FITNESS PLUS YABA,3,6000.0,3
St Nicholas Hospital,3,78225.0,3
Bethel Dental Clinic                                       ,3,14000.0,3
BLUEROOM CARE,3,10000.0,3
AMAZING HEART CENTRE,3,51000.0,3
SMILE WELL DENTAL CLINIC,3,112000.0,9
Jas Fitness Private Gym,3,36000.0,50
IVORY HEALTH CLUB,3,10000.0,5
QUEENS CLINIC ABUJA (ZONE 6),3,10000.0,3
Cova Care Specialist Clinic,2,275000.0,2
BSA HEARING AND SPEECH CENTRE,2,26000.0,2
X SERVE CLINIC SURULERE,2,85000.0,2
HAVEN PAEDIATRIC PRACTICE,2,75000.0,2
HIGHENDUROLOGY NIGERIA LIMITED ,2,3040000.0,2
SS Dental Clinic,2,35000.0,2
KAUNA IBJ SPECIALIST,2,16000.0,2
LIKKYS DENTAL CLINIC,2,7000.0,2
CELEBRITY FITNESS NIG LTD.,2,18000.0,9
CEDAR CREST HOSPITAL GWARINPA ABUJA,2,23200.0,2
PHARMACY BENEFIT PROGRAMME OWERRI,2,111000.0,6
Madonna Hospital Benue,2,9000.0,2
FEDERAL MEDICAL CENTER JABI,2,1500.0,2
The Chest Clinic (Referral only),2,55000.0,2
BE FIT GYM AND SPA,2,5000.0,2
ANALYTICS MEDICAL DIAGNOSTICS LTD,1,10000.0,1
